1;7424161,491;5547787,702
1;7429556,075;5547267,315
1;7431012,025;5548912,106
1;7431070,754;5548979,165
1;7431145,692;5548963,909
1;7431182,071;5548859,303
1;7431372,936;5548657,96
10;7424111,126;5547781,341
10;7425752,969;5549810,137
10;7431053,494;5549099,907
10;7431238,036;5548609,36
10;7431280,516;5549000,9
10;7431372,823;5548751,014
10A;7431061,02;5549037,409
10B;7431066,977;5549072,276
11;7424123,974;5547796,674
11;7425746,08;5549841,425
11;7430983,914;5549148,22
11;7431211,47;5549025,775
11;7431253,681;5548793,04
11;7431297,558;5548677,589
11A;7431190,364;5549030,344
12;7425757,294;5549819,293
12;7431244,639;5548698
12;7431325,622;5548820,581
13;7425750,852;5549851,683
13;7431176,753;5548723,451
13;7431264,782;5548899,494
14;7425771,52;5549849,714
14;7431221,272;5548679,816
14;7431326,425;5548903,83
14A;7425768,045;5549842,584
14B;7425764,78;5549835,691
15;7425765,096;5549875,352
15;7431184,228;5548693,716
16;7425784,286;5549872,367
16;7431195,304;5548647,901
17;7425768,319;5549880,593
17;7431178,089;5548604,401
18;7425798,611;5549898,051
18;7431154,611;5548622,324
19;7425771,622;5549885,883
19;7431131,548;5548636,096
194311;7419429,05;5548125,15
194311A;7419379,417;5548131,558
194311B;7419401,495;5548136,598
194311C;7419364,354;5548163,09
194312;7419490,589;5548159,504
194313;7419416,283;5548107,086
194314;7419483,411;5548150,152
194315;7419410,475;5548089,64
194316;7419471,323;5548147,392
194317;7419360,846;5548109,541
194317A;7419215,091;5548100,681
194317C;7419195,295;5548024,554
194318;7419464,566;5548115,067
194319;7419194,695;5548002,325
194319A;7419146,139;5548020,188
194319B;7419159,9;5547993,06
194319F;7419089,586;5548018,925
19432;7419547,095;5548258,49
194320;7419451,891;5548085,787
194321;7419168,63;5547959,309
194322;7419430,88;5548059,465
194323;7419166,24;5547942,355
194323A;7419120,45;5547953,324
194324;7419400,385;5548014,184
194325;7419066,2;5547967,965
194325A;7419062,755;5547956,984
194325B;7419052,975;5547940,745
194325C;7419067,995;5547937,025
194326;7419386,479;5547997,328
194326A;7419418,86;5547981,916
194327;7419098,116;5547929,852
194327A;7419105,25;5547927,227
194327B;7419092,755;5547930,566
194327C;7419080,294;5547933,516
194328;7419377,209;5547971,277
194329;7419141,415;5547898,503
19433;7419509,935;5548270,429
194330;7419374,885;5547964,4
194330B;7419392,94;5547936,875
194330C;7419378,105;5547941,893
194330E;7419344,592;5547952,856
194330F;7419337,505;5547939,901
194332A;7419303,74;5547942,19
194332B;7419313,939;5547966,786
194332C;7419293,505;5547975,175
194332D;7419278,258;5547956,496
194334;7419266,541;5547985,14
